"Town","FIPS","Year","Measure Type","Variable","Value"
"Chaplin","0901513810","2011-2015","Number","Total Households",839
"Chaplin","0901513810","2011-2015","Number","Margins of Error",53
"Chaplin","0901513810","2012-2016","Number","Total Households",858
"Chaplin","0901513810","2012-2016","Number","Margins of Error",56
"Chaplin","0901513810","2013-2017","Number","Total Households",872
"Chaplin","0901513810","2013-2017","Number","Margins of Error",51
"Cheshire","0900914160","2006-2010","Number","Total Households",9214
"Cheshire","0900914160","2006-2010","Number","Margins of Error",241
"Cheshire","0900914160","2007-2011","Number","Total Households",9367
"Cheshire","0900914160","2007-2011","Number","Margins of Error",297
"Cheshire","0900914160","2008-2012","Number","Total Households",9528
"Cheshire","0900914160","2008-2012","Number","Margins of Error",259
"Cheshire","0900914160","2009-2013","Number","Total Households",9671
"Cheshire","0900914160","2009-2013","Number","Margins of Error",263
"Cheshire","0900914160","2010-2014","Number","Total Households",9799
"Cheshire","0900914160","2010-2014","Number","Margins of Error",313
"Cheshire","0900914160","2011-2015","Number","Total Households",9937
"Cheshire","0900914160","2011-2015","Number","Margins of Error",298
"Cheshire","0900914160","2012-2016","Number","Total Households",10045
"Cheshire","0900914160","2012-2016","Number","Margins of Error",348
"Cheshire","0900914160","2013-2017","Number","Total Households",10214
"Cheshire","0900914160","2013-2017","Number","Margins of Error",301
"Chester","0900714300","2006-2010","Number","Total Households",1620
"Chester","0900714300","2006-2010","Number","Margins of Error",125
"Chester","0900714300","2007-2011","Number","Total Households",1600
"Chester","0900714300","2007-2011","Number","Margins of Error",107
"Chester","0900714300","2008-2012","Number","Total Households",1697
"Chester","0900714300","2008-2012","Number","Margins of Error",100
"Chester","0900714300","2009-2013","Number","Total Households",1783
"Chester","0900714300","2009-2013","Number","Margins of Error",118
"Chester","0900714300","2010-2014","Number","Total Households",1853
"Chester","0900714300","2010-2014","Number","Margins of Error",139
"Chester","0900714300","2011-2015","Number","Total Households",1830
"Chester","0900714300","2011-2015","Number","Margins of Error",139
"Chester","0900714300","2012-2016","Number","Total Households",1853
"Chester","0900714300","2012-2016","Number","Margins of Error",122
"Chester","0900714300","2013-2017","Number","Total Households",1777
"Chester","0900714300","2013-2017","Number","Margins of Error",166
"Clinton","0900715350","2006-2010","Number","Total Households",5434
"Clinton","0900715350","2006-2010","Number","Margins of Error",142
"Clinton","0900715350","2007-2011","Number","Total Households",5478
"Clinton","0900715350","2007-2011","Number","Margins of Error",146
"Clinton","0900715350","2008-2012","Number","Total Households",5443
"Clinton","0900715350","2008-2012","Number","Margins of Error",198
"Clinton","0900715350","2009-2013","Number","Total Households",5305
"Clinton","0900715350","2009-2013","Number","Margins of Error",192
"Clinton","0900715350","2010-2014","Number","Total Households",5313
"Clinton","0900715350","2010-2014","Number","Margins of Error",198
"Clinton","0900715350","2011-2015","Number","Total Households",5338
"Clinton","0900715350","2011-2015","Number","Margins of Error",183
"Clinton","0900715350","2012-2016","Number","Total Households",5294
"Clinton","0900715350","2012-2016","Number","Margins of Error",187
"Clinton","0900715350","2013-2017","Number","Total Households",5334
"Clinton","0900715350","2013-2017","Number","Margins of Error",218
"Colchester","0901115910","2006-2010","Number","Total Households",5836
"Colchester","0901115910","2006-2010","Number","Margins of Error",208
"Colchester","0901115910","2007-2011","Number","Total Households",5939
"Colchester","0901115910","2007-2011","Number","Margins of Error",188
"Colchester","0901115910","2008-2012","Number","Total Households",5923
"Colchester","0901115910","2008-2012","Number","Margins of Error",219
"Colchester","0901115910","2009-2013","Number","Total Households",5793
"Colchester","0901115910","2009-2013","Number","Margins of Error",227
"Colchester","0901115910","2010-2014","Number","Total Households",5785
"Colchester","0901115910","2010-2014","Number","Margins of Error",222
